,QuarLang,AlterV10Sort,SexLang,Ziv2Lang,AnzBestWir
409,City,8,Female,Widowed,6
410,City,9,Male,Divorced,2
411,City,9,Male,Single,6
412,City,9,Male,Married,3
413,City,9,Male,Widowed,3
414,City,9,Female,Divorced,2
415,City,9,Female,Single,2
416,City,9,Female,Married,1
417,City,9,Female,Widowed,3
418,City,10,Male,Widowed,1
419,City,10,Female,Single,1
420,City,10,Female,Widowed,1
421,City,11,Female,Widowed,1
422,Enge,1,Male,Single,543
423,Enge,1,Female,Single,541
424,Enge,2,Male,Single,377
425,Enge,2,Female,Single,360
426,Enge,3,Male,Divorced,1
427,Enge,3,Male,In registered partnership,2
428,Enge,3,Male,Single,652
429,Enge,3,Male,Married,44
430,Enge,3,Female,Divorced,6
431,Enge,3,Female,Single,666
432,Enge,3,Female,Married,65
433,Enge,3,Female,Widowed,2
434,Enge,4,Male,Dissolved partnership,2
435,Enge,4,Male,Divorced,13
436,Enge,4,Male,In registered partnership,11
437,Enge,4,Male,Single,834
438,Enge,4,Male,Married,341
439,Enge,4,Female,Divorced,47
440,Enge,4,Female,Single,712
441,Enge,4,Female,Married,448
442,Enge,4,Female,Widowed,1
443,Enge,5,Male,Dissolved partnership,1
444,Enge,5,Male,Divorced,56
445,Enge,5,Male,In registered partnership,7
446,Enge,5,Male,Single,359
447,Enge,5,Male,Married,386
448,Enge,5,Male,Widowed,2
449,Enge,5,Female,Dissolved partnership,2
450,Enge,5,Female,Divorced,74
451,Enge,5,Female,In registered partnership,5
452,Enge,5,Female,Single,295
453,Enge,5,Female,Married,360
454,Enge,5,Female,Widowed,4
455,Enge,6,Male,Dissolved partnership,4
456,Enge,6,Male,Divorced,84
457,Enge,6,Male,In registered partnership,12
458,Enge,6,Male,Single,197
459,Enge,6,Male,Married,325
460,Enge,6,Male,Widowed,3
461,Enge,6,Female,Divorced,115
462,Enge,6,Female,In registered partnership,2
463,Enge,6,Female,Single,144
464,Enge,6,Female,Married,282
465,Enge,6,Female,Widowed,6
466,Enge,7,Male,Dissolved partnership,2
467,Enge,7,Male,Divorced,48
468,Enge,7,Male,In registered partnership,12
469,Enge,7,Male,Single,67
470,Enge,7,Male,Married,193
471,Enge,7,Male,Widowed,5
472,Enge,7,Female,Divorced,66
473,Enge,7,Female,Single,64
474,Enge,7,Female,Unknown,1
475,Enge,7,Female,Married,158
476,Enge,7,Female,Widowed,19
477,Enge,8,Male,Dissolved partnership,1
478,Enge,8,Male,Divorced,37
479,Enge,8,Male,In registered partnership,1
480,Enge,8,Male,Single,41
481,Enge,8,Male,Married,144
482,Enge,8,Male,Widowed,11
483,Enge,8,Female,Divorced,70
484,Enge,8,Female,Single,51
485,Enge,8,Female,Married,124
486,Enge,8,Female,Widowed,63
487,Enge,9,Male,Divorced,11
488,Enge,9,Male,Single,14
489,Enge,9,Male,Married,68
490,Enge,9,Male,Widowed,20
491,Enge,9,Female,Divorced,28
492,Enge,9,Female,Single,39
493,Enge,9,Female,Married,52
494,Enge,9,Female,Widowed,91
495,Enge,10,Male,Single,4
496,Enge,10,Male,Married,19
497,Enge,10,Male,Widowed,15
498,Enge,10,Female,Divorced,9
499,Enge,10,Female,Single,17
500,Enge,10,Female,Married,7
501,Enge,10,Female,Widowed,47
502,Enge,11,Female,Widowed,5
503,Escher Wyss,1,Male,Single,307
504,Escher Wyss,1,Female,Single,288
505,Escher Wyss,2,Male,Single,140
506,Escher Wyss,2,Female,Single,137
507,Escher Wyss,3,Male,Dissolved partnership,1
508,Escher Wyss,3,Male,Divorced,1
509,Escher Wyss,3,Male,In registered partnership,2
510,Escher Wyss,3,Male,Single,449
511,Escher Wyss,3,Male,Married,10
512,Escher Wyss,3,Female,Single,404
513,Escher Wyss,3,Female,Married,17
514,Escher Wyss,4,Male,Dissolved partnership,5
515,Escher Wyss,4,Male,Divorced,17
516,Escher Wyss,4,Male,In registered partnership,20
517,Escher Wyss,4,Male,Single,793
518,Escher Wyss,4,Male,Married,180
519,Escher Wyss,4,Female,Dissolved partnership,1
520,Escher Wyss,4,Female,Divorced,24
521,Escher Wyss,4,Female,In registered partnership,2
522,Escher Wyss,4,Female,Single,539
523,Escher Wyss,4,Female,Married,227
524,Escher Wyss,5,Male,Dissolved partnership,11
525,Escher Wyss,5,Male,Divorced,50
526,Escher Wyss,5,Male,In registered partnership,24
527,Escher Wyss,5,Male,Single,393
528,Escher Wyss,5,Male,Married,266
529,Escher Wyss,5,Male,Widowed,2
530,Escher Wyss,5,Female,Divorced,39
531,Escher Wyss,5,Female,In registered partnership,1
532,Escher Wyss,5,Female,Single,245
533,Escher Wyss,5,Female,Married,230
534,Escher Wyss,5,Female,Widowed,2
535,Escher Wyss,6,Male,Dissolved partnership,7
536,Escher Wyss,6,Male,Divorced,57
537,Escher Wyss,6,Male,In registered partnership,22
538,Escher Wyss,6,Male,Single,182
539,Escher Wyss,6,Male,Married,180
540,Escher Wyss,6,Male,Widowed,1
541,Escher Wyss,6,Female,Dissolved partnership,2
542,Escher Wyss,6,Female,Divorced,65
543,Escher Wyss,6,Female,In registered partnership,6
544,Escher Wyss,6,Female,Single,111
545,Escher Wyss,6,Female,Married,134
546,Escher Wyss,6,Female,Widowed,9
547,Escher Wyss,7,Male,Dissolved partnership,3
